Average Fitness,Average Reward,Best Fitness,Best Reward
,,-inf,-inf
-51.0,0.0,-47.0,0.0
-49.44444444444444,0.0,-45.0,0.0
-44.60294117647059,0.0,-30.0,0.0
-34.98,0.0,-19.0,0.0
-25.434343434343436,0.0,-7.0,0.0
-17.19,0.0,-3.0,0.0
-10.8,0.0,-2.0,0.0
-7.29,0.0,-2.0,0.0
-5.11,0.0,-2.0,0.0
-4.53,0.0,-2.0,0.0
-4.55,0.0,-1.0,0.0
-2.44,0.0,-1.0,0.0
-2.0202020202020203,0.0,-1.0,0.0
-2.56,0.0,-1.0,0.0
-1.73,0.0,-1.0,0.0
-1.528008723210869,-0.0009384808114261545,-1.0,0.0
-2.14182375731132,-0.0014846125357632165,-1.0,0.09324318498663264
-1.6725220292406169,-0.001387484481310336,-1.0,0.0
-1.1001079333023671,-6.336002652798684e-05,-1.0,0.0
-1.8906724270435837,-0.0009136148457081797,-1.0,0.05203544980525149
-1.11,0.0,-1.0,0.0
-2.0639223064654937,-0.003508812364786285,-1.0,0.0
-1.2636543152305464,6.816559617800477e-05,-1.0,0.04827168552107247
-1.2525252525252526,0.0,-1.0,0.0
-1.8266870383755915,-0.007853307055578912,-1.0,0.0
-1.504545406293171,-0.0005085347653417632,-1.0,0.0010505426923553274
-1.3229190122561263,-0.0005538978189642662,-1.0,0.0
-1.5026572648805512,0.00043846762924556305,-1.0,0.0426785489174521
-2.327597949597562,-0.001029715063999534,-1.0,0.009386249494683585
-1.57,0.0,-1.0,0.0
-1.5593052957774818,0.0007048754448552946,-1.0,0.07048754448552946
-1.4904771696926216,0.0006539617604147215,-1.0,0.11078637090625026
-1.29,0.0,-1.0,0.0
-1.31,0.0,-1.0,0.0
-1.9058940208856556,0.0006243601479708205,-1.0,0.06118729450114041
-2.522295546181156,-0.0013449531292327249,-1.0,0.0
-2.040398112245944,-0.0002808438609390679,-1.0,0.0
-2.3602994599581053,-0.0021327160577418285,-1.0,0.010934732500521516
-2.1635606707465693,0.001554350299966615,2.5064276264978362,0.28153296329297867
-1.7392982041303582,0.003875259592885796,2.5064276264978362,0.28153296329297867
-2.0612826750048834,0.005565303307580419,2.5064276264978362,0.28153296329297867
-1.8116559672764563,0.0030451804397639854,2.5064276264978362,0.28153296329297867
-2.145325247208858,0.014538832890312572,15.081088163845198,0.6474070609908519
-2.437639224076275,0.012582945333063287,23.59753307979736,0.9257258476290356
-1.8984645194735819,0.016944674778338113,23.59753307979736,0.9257258476290356
-1.137941879714826,0.014131251451687301,23.59753307979736,0.9257258476290356
-1.1848926984072912,0.016706114512096745,23.59753307979736,0.9257258476290356
-0.950616790009687,0.024181339116500066,23.896585045936163,0.960507406704545
-0.9996847792062402,0.03486894792517783,27.748176291503707,1.044836576130906
-0.8332285891950315,0.0424990539070286,30.999160474205297,1.1820340178876643
-1.127477107215786,0.038297316280121826,30.999160474205297,1.1820340178876643
-0.3339209690656942,0.07447555588497252,40.92567929990378,1.5010284712979034
0.6591657713515954,0.11386570731911938,40.92567929990378,1.5010284712979034
2.4546598565026576,0.17389621546794679,46.25470258003782,1.6734637896576312
1.3940939986130376,0.16608021686827412,46.25470258003782,1.6734637896576312
3.014352194507538,0.214910081896349,46.79036559290238,1.6734637896576312
5.091444068032917,0.2940209018837159,48.09447235405747,1.7038558896232918
7.54649210770071,0.3858170464533744,48.722193598880246,1.7144840259749918
7.956238639433967,0.4066469497715362,49.961432107413515,1.7561453740794266
7.479642175843805,0.398295725494615,49.961432107413515,1.7561453740794266
11.776379614207256,0.5288675734170131,49.961432107413515,1.7533815763751963
15.0417735160502,0.6688410935595597,49.961432107413515,1.7533815763751963
18.115373383154328,0.7649823716836012,49.961432107413515,1.7609203649107528
16.46641022325862,0.7123702639417095,51.94705323113341,1.8599039488124331
19.65817869326135,0.8199065169062131,51.94705323113341,1.8599039488124331
25.68808845287901,0.9912345721394837,51.94705323113341,1.8599039488124331
24.402056718368765,0.9596569921130362,51.94705323113341,1.8599039488124331
27.410052518035364,1.0525629972965018,51.94705323113341,1.8599039488124331
22.641125403192646,0.9251522109195534,51.94705323113341,1.8599039488124331
25.129275403939317,0.9849294997412663,51.94705323113341,1.8599039488124331
26.669042550689973,1.064134245626484,52.396758880685596,1.8669422489968888
26.358808005100453,1.013698735847608,52.396758880685596,1.8669422489968888
24.799725873698552,0.9505314875947118,52.396758880685596,1.8669422489968888
26.79246898227189,1.0531703598337936,52.396758880685596,1.8669422489968888
24.072878114271358,0.9501292245902474,53.498347264494875,1.8720731251332274
26.741260861231407,1.0362124480130925,53.498347264494875,1.8824200579642278
26.79496705063195,1.0385303180679821,53.498347264494875,1.8824200579642278
30.800795296264937,1.1681490210028476,53.89325797661648,1.90735220679606
30.30213834552596,1.151901584522624,53.89325797661648,1.90735220679606
31.091472358690815,1.1835041695033477,54.201996223049754,1.90735220679606
36.38411121332285,1.3324582165996373,54.201996223049754,1.90735220679606
32.73348223818463,1.2442767824872698,54.201996223049754,1.9032350724096243
33.173263010452985,1.2355638592524387,54.42809510121141,1.9112879421610456
39.34828387336133,1.4293358549700503,54.42809510121141,1.9112879421610456
40.37346551677522,1.4603750926741856,54.42809510121141,1.9112879421610456
33.371965355366065,1.2552149826123835,54.42809510121141,1.9112879421610456
34.83230223808901,1.251760658320935,54.481733122097054,1.9112879421610456
35.824575954656055,1.322290469257247,54.481733122097054,1.9112879421610456
36.80957336273146,1.3574582515766522,54.481733122097054,1.9112879421610456
34.892316221881664,1.2867725824192464,54.58894938914271,1.9112879421610456
41.11852788780101,1.4799894768255504,54.58894938914271,1.9315232888111635
37.00727110467436,1.3477821061660296,54.916465502145996,1.932338188011603
34.33382744204853,1.2923272584716876,54.916465502145996,1.932338188011603
41.058000674865795,1.4552519325525182,54.916465502145996,1.932338188011603
41.43339877403182,1.5099033093646717,55.027611014271656,1.9333891054466041
37.816423350369604,1.3419048721163995,55.027611014271656,1.9430784077139531
37.91625470500746,1.3715394778160352,55.027611014271656,1.9430784077139531
41.99791529247657,1.5222443311981007,55.027611014271656,1.9430784077139531
40.10139263157871,1.482034403508626,55.027611014271656,1.9430784077139531
38.59481755012091,1.412663730107725,55.027611014271656,1.9430784077139531
40.53309606007127,1.4837460282129484,55.027611014271656,1.9430784077139531
44.6631476512474,1.6043112777727577,55.027611014271656,1.9430784077139531
46.43685064249732,1.6626866796159774,55.027611014271656,1.9430784077139531
48.227438338659184,1.6829351639146892,55.027611014271656,1.9430784077139531
44.05952918066751,1.5856575247838658,55.027611014271656,1.9430784077139531
46.311067057629955,1.6558804241791358,55.027611014271656,1.9430784077139531
44.59375092913536,1.6032483973286844,55.027611014271656,1.9430784077139531
45.83982255126164,1.6402307530496336,55.027611014271656,1.9430784077139531
45.59637483069603,1.6333261637258125,55.027611014271656,1.9430784077139531
42.70738000978573,1.5469624789318253,55.027611014271656,1.9430784077139531
46.83814870998121,1.677969065674963,55.12182720986753,1.9430784077139531
47.2615255943728,1.6890570169037529,55.12182720986753,1.9324394644823963
44.34519061084527,1.6006170956404941,55.12401200478327,1.95177519053338
47.50491557908036,1.6995615776703568,55.12401200478327,1.95177519053338
48.8887969661681,1.7403691947990756,55.12401200478327,1.9520032820265993
48.70628016146361,1.7340661204097934,55.211840921166306,1.95177519053338
48.730168399957435,1.7352030975270916,55.211840921166306,1.95177519053338
46.16691785893913,1.654479955956293,55.211840921166306,1.95177519053338
47.33530228833418,1.6929406253071928,55.211840921166306,1.95177519053338
47.763908175547016,1.705732831329825,55.211840921166306,1.95177519053338
49.20658613062434,1.7485186910855648,55.211840921166306,1.95177519053338
48.984338610760595,1.7140671049919423,55.425576271523084,1.95177519053338
44.33012749277525,1.5947546338354024,55.425576271523084,1.9455824414775968
49.044755032801966,1.743117487754629,55.425576271523084,1.9455824414775968
44.69610202017487,1.6033805061948667,55.425576271523084,1.9535912726839741
48.416323845302024,1.7213006959161794,55.425576271523084,1.9455824414775968
49.89371122922346,1.7400945613190422,55.425576271523084,1.9522210412244674
46.7671807555198,1.6712483508397815,55.425576271523084,1.9501132880955983
48.9629923648495,1.7424080743878179,55.425576271523084,1.9501132880955983
47.04916211932634,1.6774085744260967,55.425576271523084,1.9501132880955983
46.57233613466756,1.6611300692223534,55.425576271523084,1.9455824414775968
49.31290672568819,1.7490684181432696,55.425576271523084,1.9455824414775968
50.773044653946755,1.7940057946601298,55.425576271523084,1.9457699061413327
47.695671194348755,1.7005832702158832,55.425576271523084,1.948146030599393
51.14032831496946,1.8114459485174794,55.425576271523084,1.9455824414775968
49.03606766856681,1.7398345186009956,55.425576271523084,1.9455824414775968
51.06875911865817,1.806233070832844,55.46549565120067,1.9566279749635103
51.4487804404069,1.8194407580830836,55.46549565120067,1.9479560332475208
50.66156348957488,1.7933848034697428,55.46549565120067,1.9542566459676174
49.47702787192483,1.75727593420071,55.53062158003153,1.9552063909954398
49.987949603057366,1.7714401302401217,55.7057172165527,1.9583966268796595
50.587742456662525,1.7918947557941374,55.7057172165527,1.954312398635538
50.35411073966229,1.7843684519965368,55.7057172165527,1.9630381756676807
50.381761902700255,1.785602729585604,55.7057172165527,1.9557071172148977
51.08362848838231,1.8071633923715424,55.7057172165527,1.9592428357556402
50.43664242676701,1.7849770397077864,55.7057172165527,1.94855442111461
51.66296820736447,1.8207835595295732,55.7057172165527,1.9627271357176712
50.49011607396068,1.785431884242305,55.7057172165527,1.9647432071905808
50.70608496514341,1.7907902207427033,55.7057172165527,1.9589021864386904
50.6934726654493,1.7885862971733024,55.7057172165527,1.9513672882517892
51.6402545548151,1.8216717878188122,55.7057172165527,1.9615407280815178
49.45228494729035,1.7507130537225126,55.7057172165527,1.9561912830610748
46.18774114880147,1.6486599401866044,55.7057172165527,1.9535429318581372
49.07150900522301,1.7428685257032925,55.7057172165527,1.9537409804257047
51.8705393665123,1.8306666902475806,55.7057172165527,1.9539974610274038
49.69840597301136,1.7587602992742604,55.7057172165527,1.959799203021784
49.26419834489761,1.7466766993967386,55.7057172165527,1.9527972769044164
47.87117686316934,1.7039217502304111,55.7057172165527,1.9503590644854665
47.87643910570402,1.7046189064108104,55.7057172165527,1.9509173673026756
51.34761840141794,1.8119109399673954,55.7057172165527,1.9620535481853671
49.645992784175036,1.7592776154357863,55.7057172165527,1.9493950335132684
50.526471216885646,1.7869080666677721,55.7057172165527,1.95538472856871
48.541622757537255,1.7228143133518086,55.7057172165527,1.961034548917789
51.47519006019324,1.7874424719239166,55.7057172165527,1.9617177386121158
47.73799453830143,1.6984099943573476,55.7057172165527,1.9622933155635796
46.95037506055727,1.6704415650312043,55.7057172165527,1.9545859165112984
49.025499222121425,1.741523812038075,55.7057172165527,1.9525895971986569
47.65469609886012,1.6973224694015778,55.7057172165527,1.9565089200574701
45.729598755687924,1.6354156041087577,55.7057172165527,1.9511192428941047
50.86136109472377,1.799085083920494,55.7057172165527,1.94959950807657
51.69835368834982,1.824094600514008,55.7057172165527,1.9609327681634812
51.19193853861395,1.80363668683058,55.7057172165527,1.9515801611244779
50.622906520086914,1.7912673209490928,55.7057172165527,1.9496879654642425
51.653660952955086,1.8246708284422801,55.7057172165527,1.9551739685371998
49.878095297601675,1.7663960265689638,55.7057172165527,1.955912781801274
51.77084023053896,1.8284430695156613,55.7057172165527,1.965386163284327
50.43416396446231,1.7831717311250108,55.7057172165527,1.952958117472982
48.79652009802192,1.729159823411182,55.7057172165527,1.9620712565277787
51.637269971394744,1.8180893378993304,55.7057172165527,1.956442311524486
50.56775634522005,1.786614614209244,55.7057172165527,1.9537667294659282
51.806601951618774,1.8272905925715726,55.7057172165527,1.9568255596905146
51.27787002068962,1.8101015086882029,55.7057172165527,1.9609946897523123
50.95194431305043,1.8009650714062693,55.7057172165527,1.9519669406416287
51.62794334366303,1.818201571243481,55.7057172165527,1.9612415985376817
51.76386572570798,1.8261637775286734,55.7057172165527,1.9571437571312689
51.72905768435509,1.8272440785070134,55.7057172165527,1.9557833311038408
51.69451342612622,1.8246743997370112,55.75761491584227,1.965131161629375
51.007105158168585,1.802240101168007,55.75761491584227,1.965131161629375
51.455345122155514,1.816767773668933,55.75985125186244,1.965131161629375
51.63128420578348,1.8217116442241075,55.75985125186244,1.965131161629375
51.136408416584615,1.8014703303362076,55.75985125186244,1.965131161629375
49.92337221861495,1.7650784230171408,55.75985125186244,1.965131161629375
50.67865550924417,1.758591472991196,55.75985125186244,1.965131161629375
52.634661300040825,1.8563587195386544,55.75985125186244,1.965131161629375
51.0649127931178,1.8014308470676494,55.75985125186244,1.965131161629375
50.03503107677322,1.767356911488116,55.75985125186244,1.965131161629375
52.36745175892887,1.8464464309534163,55.75985125186244,1.965131161629375
50.64107695467334,1.7886396508060793,55.75985125186244,1.965131161629375
51.30998445018895,1.782498540034092,55.75985125186244,1.9656106229852968
50.60763595225692,1.7892638729344386,55.75985125186244,1.965131161629375
50.462883627870276,1.7840075192836917,55.75985125186244,1.965131161629375
50.29102132544935,1.7782607640152506,55.75985125186244,1.965131161629375
52.112171248673604,1.8372844013041034,55.75985125186244,1.965131161629375
52.07814040433533,1.8364260375721204,55.75985125186244,1.965131161629375
51.01915756633701,1.8030424277104218,55.75985125186244,1.965131161629375
51.26541846425088,1.8048472757026197,55.75985125186244,1.965131161629375
51.062230141970105,1.8009526358621846,55.75985125186244,1.965131161629375
52.29965692015319,1.8475180342768196,55.75985125186244,1.965131161629375
51.94322876931383,1.833170847051539,55.75985125186244,1.9677015034907572
51.02813448706891,1.8008253361379423,55.75985125186244,1.965131161629375
51.0917733987002,1.8029554311851592,55.75985125186244,1.965131161629375
51.08745319878021,1.8011917853053516,55.75985125186244,1.965131161629375
50.90495542550696,1.7978058939750352,55.75985125186244,1.965131161629375
50.074112894350804,1.7664793340915184,55.75985125186244,1.965131161629375
51.20030158190416,1.8048546622497426,55.75985125186244,1.965131161629375
50.994281401364695,1.8024155051789268,55.75985125186244,1.965131161629375
51.59983077147152,1.8237922093724361,55.75985125186244,1.965131161629375
51.112011188524264,1.8032451933295532,55.75985125186244,1.965131161629375
50.22480613032289,1.7811073441684235,55.75985125186244,1.965131161629375
51.47586382115682,1.8138076455362295,55.75985125186244,1.965131161629375
51.425384993756595,1.81357557717916,55.75985125186244,1.965131161629375
52.17995087966041,1.839548099788334,55.75985125186244,1.965131161629375
52.075942061021976,1.8326877886698227,55.75985125186244,1.965131161629375
50.29933089329439,1.7774628772593215,55.75985125186244,1.965131161629375
