Average Fitness,Average Reward,Best Fitness,Best Reward
-inf,-inf,-inf,-inf
-inf,-inf,-47.0,0.0
-inf,-inf,-43.0,0.0
-inf,-inf,-28.0,0.0
-32.82,0.0,-13.0,0.0
-17.78,0.0,-6.0,0.0
-13.12,0.0,-5.0,0.0
-8.58,0.0,-3.0,0.0
-6.34,0.0,-3.0,0.0
-5.62,0.0,-3.0,0.0
-4.76,0.0,-2.0,0.0
-3.84,0.0,-1.0,0.0
-3.3,0.0,-1.0,0.0
-3.58,0.0,-1.0,0.0
-inf,-inf,-1.0,0.0
-1.76,0.0,-1.0,0.0
-2.6060327256430647,-0.0030116457898201115,0.38639910913516234,0.0
-2.877078299979313,-0.1521281102071889,0.769743908078073,6.412232390717865e-05
-4.394333899564293,-0.24630585391046744,0.769743908078073,0.00034144940938796164
-0.8649669043120851,-0.005081424781735322,1.6710560105904535,0.045068268231571174
-1.2358687184166657,-0.07462296980494419,7.545662914860191,0.2205990912106251
0.4869780858707697,0.017056298221314888,18.48242361223777,0.5732367418118322
-1.5197516668509587,-0.04864789634813684,18.48242361223777,0.5732367418118322
-0.003996254934484874,-0.10373264974874914,27.85329865896543,0.8711835622314635
-1.2886589054310114,-0.1618547334136467,27.85329865896543,0.8711835622314635
-0.4140842393900877,-0.06220009082243936,31.489887866471328,0.9642460411157409
1.116612393685083,0.04045887309022791,31.489887866471328,0.9642460411157409
-inf,-inf,31.489887866471328,0.9642460411157409
0.12321251775725237,-0.08454297256427797,47.418451042823676,1.4824916893492952
1.5170941628118626,0.07632199809970605,47.418451042823676,1.4824916893492952
3.5654120882080793,0.07438512467102129,47.707865450070116,1.4824916893492952
1.357859332101773,-0.030344258060900905,47.707865450070116,1.4824916893492952
-inf,-inf,47.707865450070116,1.4824916893492952
3.493849043321074,0.10874885752841436,47.707865450070116,1.4824916893492952
5.143934233942966,0.16272357587526964,50.59114941912283,1.5742314637810144
3.214558877084568,0.04433606745521959,50.59114941912283,1.5742314637810144
2.8208670905632243,-0.06408292126877213,50.59114941912283,1.5742314637810144
-inf,-inf,50.59114941912283,1.5742314637810144
4.660710491876813,0.13842905524826582,50.59114941912283,1.5742314637810144
5.8559554009832,0.17321456413627903,50.59114941912283,1.5742314637810144
4.537154756583777,0.10577510176564565,50.59114941912283,1.5742314637810144
-inf,-inf,50.59114941912283,1.5742314637810144
4.798179937621378,0.11772442244668506,50.59114941912283,1.5742314637810144
9.219083068894754,0.24333346203056772,53.666045684130395,1.8927329768684682
11.82807909384198,0.3496877507557548,54.21518587643612,1.8960052269631522
8.53217334214576,0.1428340369036809,54.21518587643612,1.8774696149425096
13.859861113413958,0.3303231156609213,56.98486405697027,1.8973977173843337
15.545885420778236,0.4153207484388575,56.98486405697027,1.8973977173843337
-inf,-inf,56.98486405697027,1.8973977173843337
11.558330227080049,0.33775773986430546,56.98486405697027,1.8973977173843337
